Comment,Designator,Quantity,LCSC Part #,JLC Library,Mount
Passive transducer 12mm 2.4kHz 6.5mm pitch,BZ1,1,C252922,Extended,THT
100nF 50V X7R 0805,"C1,C2,C4,C7,C9,C10,C11,C12,C16,C17,C21",11,C49678,Basic,SMT
1000uF 16V radial D10x16mm 5mm pitch,"C3,C18",2,C88751,Extended,THT
10nF 50V X7R 0805,"C5,C6",2,C282728,Extended,SMT
2.2uF 25V X7R 0805,C8,1,C19110,Extended,SMT
470nF 50V X7R 0805,C13,1,C106843,Extended,SMT
M4 400V 1A SMA(DO-214AC),D1,1,C18207,Extended,SMT
BZX84C24 24V zener SOT-23,"D2,D8",2,C841152,Extended,SMT
1N4007 1000V 1A DO-41,"D3,D4,D5,D6",4,C106903,Extended,THT
BZX84C16 16V zener SOT-23,D7,1,C44457,Extended,SMT
RGEF1100 PPTC 11A hold / 18.7A trip 5.05mm,F1,1,C2760131,Extended,THT
LM317D2T adj. regulator TO-263,IC4,1,C91673,Extended,SMT
Terminal block 4P 3.81mm pluggable,"J1,J3",2,C395697,Extended,THT
Terminal block 2P 3.81mm pluggable,"J2,J4",2,C395685,Extended,THT
Pin header 1x2 2.54mm,"J5,J6,J7,J8,J9,J10,J11,J12",8,C32713268,Extended,THT
Pin header 1x4 2.54mm,J13,1,C53055674,Extended,THT
Ferrite bead 600R@100MHz 1206,L1,1,C73732,Extended,SMT
Red LED 0805,LD1,1,C84256,Basic,SMT
AO3400A N-ch 30V 5.7A SOT-23,"Q1,Q6,Q7",3,C20917,Basic,SMT
IRF540NS N-ch 100V 33A 44mR D2PAK,"Q2,Q3,Q5",3,C23982,Extended,SMT
IRF4905S P-ch 55V 70A 20mR D2PAK,Q4,1,C2620,Extended,SMT
2N7002 N-ch 60V 115mA SOT-23,Q8,1,C8545,Basic,SMT
10kR 125mW 1% 0805,"R1,R2,R3,R6,R9,R10,R11,R12,R15,R18,R23,R25,R29,R32,R33,R37,R38,R39",18,C17414,Basic,SMT
4.7kR 125mW 1% 0805,"R4,R34,R35",3,C17673,Basic,SMT
47R 125mW 1% 0805,R5,1,C17714,Basic,SMT
240R 125mW 1% 0805,R7,1,C17572,Extended,SMT
1.33kR 125mW 1% 0805,R8,1,C17382,Extended,SMT
2.2R 250mW 1% 1206,R19,1,C17947,Extended,SMT
1kR 125mW 1% 0805,"R20,R21,R30,R31",4,C17513,Basic,SMT
18kR 125mW 1% 0805,R22,1,C17506,Extended,SMT
100R 125mW 1% 0805,R36,1,C17408,Basic,SMT
