Designator,Mid X,Mid Y,Layer,Rotation
C1,26.0001mm,13.0004mm,Top,90
C2,24.0001mm,13.0004mm,Top,90
C4,42.3001mm,41.7004mm,Top,0
C7,86.0001mm,49.0004mm,Top,180
C8,16.0001mm,56.0004mm,Top,90
C9,16.0001mm,46.0004mm,Top,90
C10,16.0001mm,66.0004mm,Top,90
C11,12.0001mm,77.0004mm,Top,270
C12,31.0001mm,58.0004mm,Top,270
C13,24.0001mm,77.0004mm,Top,270
C16,4.0001mm,15.0004mm,Top,90
C17,10.0001mm,8.0004mm,Top,90
C21,86.0001mm,57.0004mm,Top,180
D1,14.0001mm,14.0799mm,Top,270
D3,64.0001mm,36.5804mm,Top,90
D4,80.0001mm,36.5804mm,Top,90
D5,96.0801mm,36.5804mm,Top,90
D6,31.0001mm,36.5804mm,Top,90
F1,58.0001mm,7.0004mm,Top,90
IC4,23.5751mm,25.3504mm,Top,0
J5,27.7301mm,4.0004mm,Top,180
J6,7.2701mm,71.0004mm,Top,0
J7,7.2701mm,61.0004mm,Top,0
J8,7.2701mm,51.0004mm,Top,0
J9,93.0001mm,78.2704mm,Top,90
J10,8.2701mm,37.0004mm,Top,0
J11,93.0001mm,70.2704mm,Top,90
J12,7.2701mm,77.0004mm,Top,0
J13,34.0001mm,54.8104mm,Top,90
L1,7.0001mm,14.0004mm,Top,270
LD1,77.0001mm,84.0004mm,Top,90
Q1,85.9366mm,72.0004mm,Top,90
Q2,56.5751mm,25.3504mm,Top,0
Q3,72.5751mm,25.3504mm,Top,0
Q4,38.5751mm,25.3504mm,Top,0
Q5,88.5751mm,25.3504mm,Top,0
Q6,32.5001mm,16.8639mm,Top,0
Q7,85.9366mm,80.0004mm,Top,90
Q8,22.9366mm,82.0004mm,Top,90
R1,50.0001mm,20.0004mm,Top,270
R2,66.0001mm,20.0004mm,Top,270
R3,82.0001mm,20.0004mm,Top,270
R4,41.0001mm,13.0004mm,Top,90
R5,32.5001mm,13.0004mm,Top,90
R6,31.8001mm,20.1004mm,Top,180
R7,21.0001mm,13.0004mm,Top,270
R8,19.0001mm,13.0004mm,Top,270
R9,86.0001mm,53.0004mm,Top,0
R10,86.0001mm,55.0004mm,Top,0
R11,86.0001mm,61.0004mm,Top,0
R12,86.0001mm,59.0004mm,Top,0
R15,10.0001mm,66.0004mm,Top,90
R18,14.0001mm,56.0004mm,Top,90
R19,10.0001mm,14.0004mm,Top,90
R20,6.0001mm,56.0004mm,Top,90
R21,75.0001mm,84.0004mm,Top,270
R22,12.0001mm,56.0004mm,Top,90
R23,10.0001mm,46.0004mm,Top,90
R25,12.0001mm,66.0004mm,Top,90
R29,12.0001mm,46.0004mm,Top,90
R30,97.0001mm,69.0004mm,Top,180
R31,97.0001mm,77.0004mm,Top,180
R32,16.0001mm,77.0004mm,Top,90
R33,14.0001mm,77.0004mm,Top,90
R34,31.0001mm,52.0004mm,Top,270
R35,29.0001mm,52.0004mm,Top,270
R36,22.0001mm,77.0004mm,Top,270
R37,19.0001mm,82.0004mm,Top,270
R38,82.0001mm,80.0004mm,Top,270
R39,82.0001mm,72.0004mm,Top,270
