Designator,Mid X,Mid Y,Layer,Rotation
BZ1,82.0001mm,131.0004mm,Top,0
C1,76.0001mm,63.0004mm,Top,90
C2,74.0001mm,63.0004mm,Top,90
C3,98.0001mm,59.0004mm,Top,270
C4,92.3001mm,91.7004mm,Top,0
C5,136.0001mm,101.0004mm,Top,180
C6,136.0001mm,113.0004mm,Top,180
C7,136.0001mm,99.0004mm,Top,180
C8,66.0001mm,106.0004mm,Top,90
C9,66.0001mm,96.0004mm,Top,90
C10,66.0001mm,116.0004mm,Top,90
C11,62.0001mm,127.0004mm,Top,270
C12,81.0001mm,108.0004mm,Top,270
C13,74.0001mm,127.0004mm,Top,270
C16,54.0001mm,65.0004mm,Top,90
C17,60.0001mm,58.0004mm,Top,90
C18,59.0001mm,77.0004mm,Top,180
C21,136.0001mm,107.0004mm,Top,180
D1,64.0001mm,64.0799mm,Top,270
D2,135.9366mm,126.0004mm,Top,90
D3,114.0001mm,86.5804mm,Top,90
D4,130.0001mm,86.5804mm,Top,90
D5,146.0801mm,86.5804mm,Top,90
D6,81.0001mm,86.5804mm,Top,90
D7,86.9366mm,63.0004mm,Top,90
D8,135.9366mm,134.0004mm,Top,90
F1,108.0001mm,57.0004mm,Top,90
IC4,73.5751mm,76.6504mm,Top,90
J1,121.7151mm,56.0004mm,Top,0
J2,137.9051mm,56.0004mm,Top,0
J3,143.0001mm,105.7154mm,Top,90
J4,67.9051mm,56.0004mm,Top,0
J5,77.7301mm,54.0004mm,Top,180
J6,57.2701mm,121.0004mm,Top,0
J7,57.2701mm,111.0004mm,Top,0
J8,57.2701mm,101.0004mm,Top,0
J9,143.0001mm,128.2704mm,Top,90
J10,58.2701mm,87.0004mm,Top,0
J11,143.0001mm,120.2704mm,Top,90
J12,57.2701mm,127.0004mm,Top,0
J13,84.0001mm,104.8104mm,Top,90
L1,57.0001mm,64.0004mm,Top,270
LD1,127.0001mm,134.0004mm,Top,90
Q1,135.9366mm,122.0004mm,Top,90
Q2,106.5751mm,76.6504mm,Top,90
Q3,122.5751mm,76.6504mm,Top,90
Q4,88.5751mm,76.6504mm,Top,90
Q5,138.5751mm,76.6504mm,Top,90
Q6,82.5001mm,66.8639mm,Top,0
Q7,135.9366mm,130.0004mm,Top,90
Q8,72.9366mm,132.0004mm,Top,90
R1,100.0001mm,70.0004mm,Top,270
R2,116.0001mm,70.0004mm,Top,270
R3,132.0001mm,70.0004mm,Top,270
R4,91.0001mm,63.0004mm,Top,90
R5,82.5001mm,63.0004mm,Top,90
R6,81.8001mm,70.1004mm,Top,180
R7,71.0001mm,63.0004mm,Top,270
R8,69.0001mm,63.0004mm,Top,270
R9,136.0001mm,103.0004mm,Top,0
R10,136.0001mm,105.0004mm,Top,0
R11,136.0001mm,111.0004mm,Top,0
R12,136.0001mm,109.0004mm,Top,0
R15,60.0001mm,116.0004mm,Top,90
R18,64.0001mm,106.0004mm,Top,90
R19,60.0001mm,64.0004mm,Top,90
R20,56.0001mm,106.0004mm,Top,90
R21,125.0001mm,134.0004mm,Top,270
R22,62.0001mm,106.0004mm,Top,90
R23,60.0001mm,96.0004mm,Top,90
R25,62.0001mm,116.0004mm,Top,90
R29,62.0001mm,96.0004mm,Top,90
R30,147.0001mm,119.0004mm,Top,180
R31,147.0001mm,127.0004mm,Top,180
R32,66.0001mm,127.0004mm,Top,90
R33,64.0001mm,127.0004mm,Top,90
R34,81.0001mm,102.0004mm,Top,270
R35,79.0001mm,102.0004mm,Top,270
R36,72.0001mm,127.0004mm,Top,270
R37,69.0001mm,132.0004mm,Top,270
R38,132.0001mm,130.0004mm,Top,270
R39,132.0001mm,122.0004mm,Top,270
