Designator,Status,Tech,Value,Footprint,X (mm),Y (mm),Rotation (corrected),Rotation (raw KiCad)
BZ1,THT,THT,BUZZ,BUZZ_ROUND,32.0001,81.0004,0,0
C1,SMT,SMD,100n,0805,26.0001,13.0004,90,0
C2,SMT,SMD,100n,0805,24.0001,13.0004,90,0
C3,THT,THT,1000u,CAE_5MM,48.0001,9.0004,270,270
C4,SMT,SMD,100n,0805,42.3001,41.7004,0,270
C5,SMT,SMD,10n,0805,86.0001,51.0004,180,90
C6,SMT,SMD,10n,0805,86.0001,63.0004,180,90
C7,SMT,SMD,100n,0805,86.0001,49.0004,180,90
C8,SMT,SMD,2u2,0805,16.0001,56.0004,90,0
C9,SMT,SMD,100n,0805,16.0001,46.0004,90,0
C10,SMT,SMD,100n,0805,16.0001,66.0004,90,0
C11,SMT,SMD,100n,0805,12.0001,77.0004,270,180
C12,SMT,SMD,100n,0805,31.0001,58.0004,270,180
C13,SMT,SMD,470n,0805,24.0001,77.0004,270,180
C16,SMT,SMD,100n,0805,4.0001,15.0004,90,0
C17,SMT,SMD,100n,0805,10.0001,8.0004,90,0
C18,THT,THT,1000u,CAE_5MM,9.0001,27.0004,180,180
C21,SMT,SMD,100n,0805,86.0001,57.0004,180,90
D1,SMT,SMD,GF1G,DIO$2F$GF1G,14.0001,14.0799,270,270
D2,SMT,SMD,24V,SOT23,85.9366,76.0004,90,270
D3,THT,THT,1N4004,DIODE_R4_BIG,64.0001,36.5804,90,90
D4,THT,THT,1N4004,DIODE_R4_BIG,80.0001,36.5804,90,90
D5,THT,THT,1N4004,DIODE_R4_BIG,96.0801,36.5804,90,90
D6,THT,THT,1N4004,DIODE_R4_BIG,31.0001,36.5804,90,90
D7,SMT,SMD,16V,SOT23,36.9366,13.0004,90,270
D8,SMT,SMD,24V,SOT23,85.9366,84.0004,90,270
F1,THT,THT,Poly Fuse 8A RGEF800,FUSE_TE5,58.0001,7.0004,90,90
HO1,mounting-hole,THT,"3, 4 & 5 mm",HOLE3MM,3.0001,3.0004,0,0
HO2,mounting-hole,THT,"3, 4 & 5 mm",HOLE3MM,97.0001,3.0004,0,0
HO3,mounting-hole,THT,"3, 4 & 5 mm",HOLE3MM,97.0001,87.0004,0,0
HO4,mounting-hole,THT,"3, 4 & 5 mm",HOLE3MM,3.0001,87.0004,0,0
IC4,SMT,THT,LM317T,TO-220-DPAK-COMBO,23.5751,26.6504,0,0
J1,THT,THT,PHOENIX/MKDS4,PHOENIX$2F$MC4,71.7151,6.0004,0,0
J2,THT,THT,PHOENIX/MKDS2,PHOENIX$2F$MC2,87.9051,6.0004,0,0
J3,THT,THT,PHOENIX/MKDS4,PHOENIX$2F$MC4,93.0001,55.7154,90,90
J4,THT,THT,PHOENIX/MC2,PHOENIX$2F$MC2,17.9051,6.0004,0,0
J5,THT,THT,JP1,PINSTRIP2,27.7301,4.0004,180,180
